query	runtime_sec	exit_code	hits
s4-0010-0008	43	0	198
s4-0010-0009	238	0	158
s4-0010-0010	283	0	926
s4-0010-0011	40	0	48
s4-0010-0012	52	0	575
s4-0010-0013	275	0	816
s4-0010-0014	233	0	0
s4-0010-0015	233	0	0
s4-0011-0000	265	0	636
s4-0011-0001	248	0	149
s4-0011-0002	243	0	199
s4-0011-0003	238	0	37
s4-0011-0004	36	0	340
s4-0011-0005	250	0	299
s4-0011-0006	47	0	919
s4-0011-0007	32	0	53
s4-0011-0008	242	0	235
s4-0011-0009	239	0	45
s4-0011-0010	59	0	1628
s4-0011-0011	34	0	91
s4-0011-0012	261	0	586
s4-0011-0013	241	0	175
s4-0011-0014	229	0	0
s4-0011-0015	236	0	0
s4-0012-0000	53	0	178
s4-0012-0001	48	0	32
s4-0012-0002	42	0	58
s4-0012-0003	83	0	119
s4-0012-0004	42	0	36
s4-0012-0005	47	0	236
s4-0012-0006	299	0	39
s4-0012-0007	289	0	0
s4-0012-0008	283	0	49
s4-0012-0009	39	0	10
s4-0012-0010	296	0	5
s4-0012-0011	42	0	2
s4-0012-0012	303	0	9
s4-0012-0013	312	0	93
s4-0012-0014	54	0	0
s4-0012-0015	52	0	2
s4-0013-0000	286	0	1218
s4-0013-0001	39	0	367
s4-0013-0002	248	0	270
s4-0013-0003	248	0	275
s4-0013-0004	260	0	437
s4-0013-0005	253	0	140
s4-0013-0006	290	0	1780
s4-0013-0007	264	0	899
s4-0013-0008	37	0	270
s4-0013-0009	238	0	62
s4-0013-0010	77	0	1614
s4-0013-0011	36	0	18
s4-0013-0012	267	0	847
s4-0013-0013	257	0	351
s4-0013-0014	32	0	0
s4-0013-0015	236	0	0
s4-0014-0000	95	0	741
s4-0014-0001	44	0	189
s4-0014-0002	46	0	282
s4-0014-0003	39	0	30
s4-0014-0004	243	0	171
s4-0014-0005	313	0	2940
s4-0014-0006	34	0	22
s4-0014-0007	243	0	142
s4-0014-0008	39	0	188
s4-0014-0009	242	0	258
s4-0014-0010	312	0	2921
s4-0014-0011	31	0	19
s4-0014-0012	36	0	370
s4-0014-0013	30	0	0
s4-0014-0014	232	0	129
s4-0014-0015	32	0	0
s4-0015-0000	37	0	352
s4-0015-0001	238	0	105
s4-0015-0002	234	0	234
s4-0015-0003	234	0	69
s4-0015-0004	34	0	217
s4-0015-0005	239	0	211
s4-0015-0006	259	0	879
s4-0015-0007	33	0	110
s4-0015-0008	33	0	159
s4-0015-0009	230	0	24
s4-0015-0010	264	0	790
s4-0015-0011	240	0	34
s4-0015-0012	41	0	499
s4-0015-0013	34	0	94
s4-0015-0014	69	0	0
s4-0015-0015	232	0	0
s4-0016-0000	45	0	599
s4-0016-0001	34	0	124
s4-0016-0002	238	0	176
s4-0016-0003	251	0	562
s4-0016-0004	36	0	225
s4-0016-0005	243	0	48
s4-0016-0006	32	0	53
s4-0016-0007	241	0	185
s4-0016-0008	241	0	263
s4-0016-0009	242	0	166
s4-0016-0010	316	0	2550
s4-0016-0011	237	0	1
s4-0016-0012	251	0	433
s4-0016-0013	36	0	180
s4-0016-0014	35	0	245
s4-0016-0015	224	0	0
s4-0017-0000	352	0	3572
s4-0017-0001	289	0	2040
s4-0017-0002	69	0	2026
s4-0017-0003	72	0	2309
s4-0017-0004	311	0	2448
s4-0017-0005	52	0	888
s4-0017-0006	45	0	563
s4-0017-0007	91	0	951
s4-0017-0008	63	0	1779
s4-0017-0009	42	0	533
s4-0017-0010	118	0	4410
s4-0017-0011	62	0	1332
s4-0017-0012	80	0	2768
s4-0017-0013	65	0	1445
s4-0017-0014	250	0	444
s4-0017-0015	247	0	287
s4-0018-0000	269	0	838
s4-0018-0001	251	0	350
s4-0018-0002	242	0	300
s4-0018-0003	45	0	452
s4-0018-0004	246	0	322
s4-0018-0005	245	0	112
s4-0018-0006	34	0	30
s4-0018-0007	241	0	171
s4-0018-0008	244	0	248
s4-0018-0009	244	0	284
s4-0018-0010	331	0	3042
s4-0018-0011	237	0	0
s4-0018-0012	245	0	268
s4-0018-0013	81	0	776
s4-0018-0014	236	0	179
s4-0018-0015	226	0	0
s4-0019-0000	325	0	2906
s4-0019-0001	52	0	1212
s4-0019-0002	280	0	1388
